
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49674          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:60544          0.0.0.0:0              LISTENING
  TCP    127.0.0.1:14630        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:26822        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:28385        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:28390        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:32682        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:32683        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:32683        127.0.0.1:60040        TIME_WAIT
  TCP    127.0.0.1:32683        127.0.0.1:60054        TIME_WAIT
  TCP    127.0.0.1:33683        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49350        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49350        127.0.0.1:60094        CLOSE_WAIT
  TCP    127.0.0.1:49351        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49886        127.0.0.1:57849        ESTABLISHED
  TCP    127.0.0.1:49900        127.0.0.1:57798        ESTABLISHED
  TCP    127.0.0.1:49930        127.0.0.1:57798        ESTABLISHED
  TCP    127.0.0.1:49936        127.0.0.1:57798        ESTABLISHED
  TCP    127.0.0.1:52159        127.0.0.1:57798        ESTABLISHED
  TCP    127.0.0.1:54340        127.0.0.1:57849        ESTABLISHED
  TCP    127.0.0.1:54341        127.0.0.1:57874        ESTABLISHED
  TCP    127.0.0.1:57798        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:57798        127.0.0.1:49900        ESTABLISHED
  TCP    127.0.0.1:57798        127.0.0.1:49930        ESTABLISHED
  TCP    127.0.0.1:57798        127.0.0.1:49936        ESTABLISHED
  TCP    127.0.0.1:57798        127.0.0.1:52159        ESTABLISHED
  TCP    127.0.0.1:57798        127.0.0.1:57875        ESTABLISHED
  TCP    127.0.0.1:57798        127.0.0.1:57876        ESTABLISHED
  TCP    127.0.0.1:57798        127.0.0.1:59934        TIME_WAIT
  TCP    127.0.0.1:57798        127.0.0.1:59993        TIME_WAIT
  TCP    127.0.0.1:57798        127.0.0.1:60009        TIME_WAIT
  TCP    127.0.0.1:57798        127.0.0.1:60010        TIME_WAIT
  TCP    127.0.0.1:57798        127.0.0.1:60011        TIME_WAIT
  TCP    127.0.0.1:57798        127.0.0.1:60075        TIME_WAIT
  TCP    127.0.0.1:57798        127.0.0.1:60080        TIME_WAIT
  TCP    127.0.0.1:57798        127.0.0.1:60082        ESTABLISHED
  TCP    127.0.0.1:57798        127.0.0.1:60091        TIME_WAIT
  TCP    127.0.0.1:57798        127.0.0.1:60092        ESTABLISHED
  TCP    127.0.0.1:57849        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:57849        127.0.0.1:49886        ESTABLISHED
  TCP    127.0.0.1:57849        127.0.0.1:54340        ESTABLISHED
  TCP    127.0.0.1:57850        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:57850        127.0.0.1:60027        TIME_WAIT
  TCP    127.0.0.1:57850        127.0.0.1:60069        TIME_WAIT
  TCP    127.0.0.1:57850        127.0.0.1:60081        TIME_WAIT
  TCP    127.0.0.1:57850        127.0.0.1:60086        TIME_WAIT
  TCP    127.0.0.1:57869        127.0.0.1:57870        ESTABLISHED
  TCP    127.0.0.1:57870        127.0.0.1:57869        ESTABLISHED
  TCP    127.0.0.1:57874        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:57874        127.0.0.1:54341        ESTABLISHED
  TCP    127.0.0.1:57875        127.0.0.1:57798        ESTABLISHED
  TCP    127.0.0.1:57876        127.0.0.1:57798        ESTABLISHED
  TCP    127.0.0.1:60008        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60012        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60013        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60015        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60016        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60017        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60018        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60019        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60020        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60021        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60022        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60023        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60024        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60025        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60026        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60028        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60029        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60030        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60031        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60032        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60033        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60034        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60035        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60036        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60037        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60038        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60039        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60041        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60042        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60043        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60044        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60045        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60046        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60047        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60048        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60049        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60050        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60051        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60052        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60053        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60055        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60056        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60057        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60058        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60059        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60060        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60061        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60062        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60063        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60064        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60065        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60066        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60071        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60074        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60076        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60077        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60078        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60079        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60082        127.0.0.1:57798        ESTABLISHED
  TCP    127.0.0.1:60083        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60084        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60085        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60090        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60092        127.0.0.1:57798        ESTABLISHED
  TCP    127.0.0.1:60093        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60094        127.0.0.1:49350        FIN_WAIT_2
  TCP    192.168.29.36:139      0.0.0.0:0              LISTENING
  TCP    192.168.29.36:59090    13.107.137.11:443      ESTABLISHED
  TCP    192.168.29.36:59123    13.107.137.11:443      ESTABLISHED
  TCP    192.168.29.36:59124    13.107.137.11:443      ESTABLISHED
  TCP    192.168.29.36:59125    13.107.137.11:443      ESTABLISHED
  TCP    192.168.29.36:59148    13.107.137.11:443      ESTABLISHED
  TCP    192.168.29.36:59149    13.107.137.11:443      ESTABLISHED
  TCP    192.168.29.36:59794    13.89.179.9:443        ESTABLISHED
